NOC,forecast,conf_int_90_lower,conf_int_90_upper,conf_int_95_lower,conf_int_95_upper,conf_int_99_lower,conf_int_99_upper,normal,p_value,aic
United States,160.60893942487175,136.40,184.82,131.76,189.46,122.69,198.52,True,0.6410618812424376,58.64200948018023
Germany,17.337743008353563,15.81,18.86,15.52,19.15,14.95,19.72,False,5.9039343930430713e-05,52.326544430540366
China,93.15560451492294,93.02,93.29,93.00,93.31,92.95,93.36,True,0.3691522234874912,56.27641507902024
Cuba,6.195179725447364,6.13,6.26,6.12,6.27,6.10,6.30,True,0.697127119680196,43.91400058308036
Spain,17.374992904165904,12.36,22.39,11.40,23.35,9.52,25.23,True,0.22528475247512758,40.73121861047295
South Korea,35.96723294911978,30.49,41.44,29.44,42.49,27.39,44.54,False,0.001263152807357486,50.30122535199091
Hungary,20.19606969596504,13.96,26.43,12.77,27.63,10.43,29.96,False,0.010792567811896301,51.67483196218414
France,33.0,24.82,41.18,23.25,42.75,20.19,45.81,False,0.032829664668247806,52.9698893227406
Australia,45.734395439590834,43.39,48.08,42.94,48.53,42.06,49.40,False,0.03326480259169258,56.84292552171759
Canada,38.24968960013029,38.24,38.26,38.24,38.26,38.24,38.26,True,0.41418584907901124,33.946765330922034
Italy,48.411019393389935,48.00,48.82,47.92,48.90,47.77,49.05,True,0.8548968327464761,47.075768193959306
Great Britain,72.36446503763001,72.31,72.42,72.30,72.43,72.28,72.45,True,0.4376676190686645,38.28761638546082
Romania,19.921455945468434,19.66,20.18,19.62,20.23,19.52,20.32,True,0.9137349361323573,39.0133368156402
North Korea,6.0,3.37,8.63,2.86,9.14,1.88,10.12,False,0.013270689215925223,32.230883287059285
Japan,45.0,nan,nan,nan,nan,nan,nan,True,0.8304515720359845,12.0
Bulgaria,2.82773894712939,2.80,2.86,2.79,2.86,2.78,2.87,True,0.1480676117536368,27.629560298184266
Poland,15.122690108176839,14.86,15.38,14.81,15.43,14.72,15.53,True,0.8381175864651342,31.627853944548583
Netherlands,34.0,nan,nan,nan,nan,nan,nan,True,0.31975765145768276,16.0
Kenya,18.149147547396495,18.08,18.22,18.06,18.23,18.04,18.26,False,0.0029710692992255773,40.824486623128884
Norway,16.729097805537585,16.66,16.80,16.65,16.81,16.62,16.83,True,0.2599344104406363,35.11695100481192
Turkey,24.08886042452942,23.20,24.98,23.03,25.15,22.70,25.48,True,0.660192737135934,41.7721846721478
Indonesia,4.722338393923616,4.55,4.90,4.51,4.93,4.45,5.00,True,0.10085685136109618,27.330134980634462
Brazil,27.47942319634123,26.99,27.97,26.89,28.07,26.71,28.25,True,0.3349786958965776,36.38274095424194
Greece,10.009051874897096,9.88,10.14,9.86,10.16,9.81,10.21,True,0.35459867559086444,36.46863556688572
Sweden,17.591937250178425,17.54,17.64,17.53,17.65,17.51,17.67,True,0.05394517704810539,29.662575333841858
New Zealand,17.001251606498617,16.99,17.01,16.99,17.02,16.98,17.02,False,0.0060404409316217236,19.465424021944575
Finland,-4.773130075636292,-4.79,-4.75,-4.80,-4.75,-4.81,-4.74,True,0.7995814789812572,20.398040894465215
Denmark,16.81167489918356,16.75,16.88,16.74,16.89,16.71,16.91,True,0.1357774966019324,38.71898658327959
Morocco,2.0,-0.40,4.40,-0.86,4.86,-1.75,5.75,True,0.1430327088835721,30.733190950857963
Ireland,6.13372600312656,6.11,6.16,6.10,6.16,6.09,6.17,True,0.1319052254135596,25.21529110136689
Ethiopia,1.7856142147456477,1.75,1.82,1.75,1.82,1.74,1.83,False,0.032456848220479,28.93354274011069
Algeria,2.0406587061333745,0.96,3.12,0.76,3.32,0.36,3.73,True,0.49482121578677174,27.351574725921036
Estonia,2.5322695044987924,2.49,2.58,2.48,2.58,2.46,2.60,True,0.5365380257353576,16.7371080751287
Lithuania,1.927910232957685,1.77,2.08,1.74,2.11,1.68,2.17,True,0.19067411405378398,33.204722635170114
Switzerland,8.317658044347962,7.95,8.68,7.88,8.75,7.74,8.89,True,0.1117525274752601,40.3169313945158
Jamaica,13.900296671135052,13.88,13.92,13.87,13.93,13.87,13.93,True,0.4130304069198089,36.30231067489303
Nigeria,3.159409430326285,3.12,3.20,3.12,3.20,3.10,3.22,True,0.09592354755993968,25.118057420722895
Latvia,3.660027726044998,3.63,3.69,3.62,3.70,3.61,3.71,True,0.5794464256467655,24.851503837910332
