NOC,Sport,First_Year
CHN,Basketball,1984.0
CHN,Judo,1992.0
CHN,Football,1996.0
CHN,Tug-Of-War,Never
CHN,Athletics,1984.0
CHN,Swimming,1988.0
CHN,Badminton,1992.0
CHN,Sailing,1992.0
CHN,Gymnastics,1984.0
CHN,Art Competitions,Never
CHN,Handball,1984.0
CHN,Weightlifting,1984.0
CHN,Wrestling,1992.0
CHN,Water Polo,Never
CHN,Hockey,2008.0
CHN,Rowing,1988.0
CHN,Fencing,1984.0
CHN,Equestrianism,Never
CHN,Shooting,1984.0
CHN,Boxing,2004.0
CHN,Taekwondo,2000.0
CHN,Cycling,2000.0
CHN,Diving,1984.0
CHN,Canoeing,2004.0
CHN,Tennis,2004.0
CHN,Modern Pentathlon,2012.0
CHN,Golf,2016.0
CHN,Softball,1996.0
CHN,Archery,1984.0
CHN,Volleyball,1984.0
CHN,Synchronized Swimming,2008.0
CHN,Table Tennis,1988.0
CHN,Baseball,Never
CHN,Rhythmic Gymnastics,2008.0
CHN,Rugby Sevens,Never
CHN,Trampolining,2004.0
CHN,Beach Volleyball,2008.0
CHN,Triathlon,Never
CHN,Rugby,Never
CHN,Lacrosse,Never
CHN,Polo,Never
CHN,Cricket,Never
CHN,Ice Hockey,Never
CHN,Racquets,Never
CHN,Motorboating,Never
CHN,Croquet,Never
CHN,Figure Skating,Never
CHN,Jeu De Paume,Never
CHN,Roque,Never
CHN,Basque Pelota,Never
CHN,Alpinism,Never
CHN,Aeronautics,Never
CHN,Cycling Road,Never
CHN,Artistic Gymnastics,2020.0
CHN,Karate,2020.0
CHN,Baseball/Softball,Never
CHN,Trampoline Gymnastics,2020.0
CHN,Marathon Swimming,Never
CHN,Canoe Slalom,Never
CHN,Surfing,Never
CHN,Canoe Sprint,2020.0
CHN,Cycling BMX Racing,Never
CHN,Equestrian,Never
CHN,Artistic Swimming,2020.0
CHN,Cycling Track,2020.0
CHN,Skateboarding,Never
CHN,Cycling Mountain Bike,Never
CHN,3x3 Basketball,2020.0
CHN,Cycling BMX Freestyle,2024.0
CHN,Sport Climbing,2024.0
CHN,"Marathon Swimming, Swimming",Never
CHN,Breaking,2024.0
CHN,"Cycling Road, Cycling Track",Never
CHN,"Cycling Road, Cycling Mountain Bike",Never
CHN,"Cycling Road, Triathlon",Never
CHN,"3x3 Basketball, Basketball",Never
DEN,Basketball,Never
DEN,Judo,Never
DEN,Football,1906.0
DEN,Tug-Of-War,1900.0
DEN,Athletics,1900.0
DEN,Swimming,1900.0
DEN,Badminton,1992.0
DEN,Sailing,1912.0
DEN,Gymnastics,1906.0
DEN,Art Competitions,1924.0
DEN,Handball,1996.0
DEN,Weightlifting,1896.0
DEN,Wrestling,1906.0
DEN,Water Polo,Never
DEN,Hockey,1920.0
DEN,Rowing,1912.0
DEN,Fencing,1896.0
DEN,Equestrianism,1924.0
DEN,Shooting,1896.0
DEN,Boxing,1920.0
DEN,Taekwondo,2024.0
DEN,Cycling,1924.0
DEN,Diving,1920.0
DEN,Canoeing,1948.0
DEN,Tennis,1912.0
DEN,Modern Pentathlon,Never
DEN,Golf,Never
DEN,Softball,Never
DEN,Archery,Never
DEN,Volleyball,Never
DEN,Synchronized Swimming,Never
DEN,Table Tennis,2004.0
DEN,Baseball,Never
DEN,Rhythmic Gymnastics,Never
DEN,Rugby Sevens,Never
DEN,Trampolining,Never
DEN,Beach Volleyball,Never
DEN,Triathlon,Never
DEN,Rugby,Never
DEN,Lacrosse,Never
DEN,Polo,Never
DEN,Cricket,Never
DEN,Ice Hockey,Never
DEN,Racquets,Never
DEN,Motorboating,Never
DEN,Croquet,Never
DEN,Figure Skating,Never
DEN,Jeu De Paume,Never
DEN,Roque,Never
DEN,Basque Pelota,Never
DEN,Alpinism,Never
DEN,Aeronautics,Never
DEN,Cycling Road,Never
DEN,Artistic Gymnastics,Never
DEN,Karate,Never
DEN,Baseball/Softball,Never
DEN,Trampoline Gymnastics,Never
DEN,Marathon Swimming,Never
DEN,Canoe Slalom,Never
DEN,Surfing,Never
DEN,Canoe Sprint,2020.0
DEN,Cycling BMX Racing,Never
DEN,Equestrian,2024.0
DEN,Artistic Swimming,Never
DEN,Cycling Track,2020.0
DEN,Skateboarding,Never
DEN,Cycling Mountain Bike,Never
DEN,3x3 Basketball,Never
DEN,Cycling BMX Freestyle,Never
DEN,Sport Climbing,Never
DEN,"Marathon Swimming, Swimming",Never
DEN,Breaking,Never
DEN,"Cycling Road, Cycling Track",Never
DEN,"Cycling Road, Cycling Mountain Bike",Never
DEN,"Cycling Road, Triathlon",Never
DEN,"3x3 Basketball, Basketball",Never
NED,Basketball,Never
NED,Judo,1964.0
NED,Football,1900.0
NED,Tug-Of-War,1920.0
NED,Athletics,1924.0
NED,Swimming,1900.0
NED,Badminton,2004.0
NED,Sailing,1900.0
NED,Gymnastics,1928.0
NED,Art Competitions,1924.0
NED,Handball,Never
NED,Weightlifting,1928.0
NED,Wrestling,Never
NED,Water Polo,1948.0
NED,Hockey,1928.0
NED,Rowing,1900.0
NED,Fencing,1906.0
NED,Equestrianism,1924.0
NED,Shooting,1900.0
NED,Boxing,1928.0
NED,Taekwondo,Never
NED,Cycling,1920.0
NED,Diving,Never
NED,Canoeing,1936.0
NED,Tennis,1924.0
NED,Modern Pentathlon,Never
NED,Golf,Never
NED,Softball,Never
NED,Archery,1920.0
NED,Volleyball,1992.0
NED,Synchronized Swimming,Never
